"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"SSRU","SQY","Sao Lourenco do Sul Airport","Sao Lourenco Do Sul","Rio Grande do Sul","BR","28","-31.3833","-52.0328","America/Sao_Paulo",""
"SSSB","QOJ","Sao Borja Airport","Sao Borja","Rio Grande do Sul","BR","246","-28.6549","-56.0346","America/Sao_Paulo",""
"SSSC","CSU","Santa Cruz do Sul Airport","Santa Cruz Do Sul","Rio Grande do Sul","BR","646","-29.6841","-52.4122","America/Sao_Paulo",""
"SSUM","UMU","Umuarama Airport","Umuarama","Paraná","BR","1558","-23.7987","-53.3138","America/Sao_Paulo",""
"SSUV","QVB","Uniao da Vitoria Airport","Uniao Da Vitoria","Santa Catarina","BR","2467","-26.2334","-51.0678","America/Sao_Paulo",""
"SSVI","VIA","Videira Airport","Videira","Santa Catarina","BR","2756","-26.9997","-51.1419","America/Sao_Paulo",""
"SSVP","CTQ","Santa Vitoria do Palmar Airport","Santa Vitoria Do Palmar","Rio Grande do Sul","BR","82","-33.50222","-53.34417","America/Sao_Paulo",""
"SSXX","AXE","Xanxere Airport","Xanxere","Santa Catarina","BR","2986","-26.87556","-52.37305","America/Sao_Paulo",""
"SSYA","AAG","Arapoti Airport","Arapoti","Paraná","BR","2641","-24.1039","-49.7891","America/Sao_Paulo",""
"SSZR","SRA","Santa Rosa Airport","Santa Rosa","Rio Grande do Sul","BR","984","-27.9067","-54.5204","America/Sao_Paulo",""
"SSZW","PGZ","Ponta Grossa Airport","Ponta Grossa","Paraná","BR","2588","-25.1847","-50.1441","America/Sao_Paulo",""
"SUAG","ATI","Artigas International Airport","Artigas","Artigas","UY","410","-30.4007","-56.5079","America/Montevideo",""
"SUCA","CYR","Laguna de Los Patos International Airport","Colonia","Colonia","UY","66","-34.4564","-57.7706","America/Montevideo",""
"SUDU","DZO","Santa Bernardina International Airport","Durazno","Durazno","UY","305","-33.3589","-56.4992","America/Montevideo",""
"SULS","PDP","Capitan Corbeta CA Curbelo International Airport","Punta del Este","Maldonado","UY","95","-34.8551","-55.0943","America/Montevideo",""
"SUMO","MLZ","Cerro Largo International Airport","Melo","Cerro-Largo","UY","364","-32.3379","-54.2167","America/Montevideo",""
"SUMU","MVD","Carrasco International /General C L Berisso Airport","Montevideo","Canelones","UY","105","-34.8384","-56.0308","America/Montevideo",""
"SUPU","PDU","Tydeo Larre Borges Airport","Paysandu","Paysandu","UY","138","-32.3633","-58.0619","America/Montevideo",""
"SURV","RVY","Presidente General Don Oscar D. Gestido International Airport","Rivera","Rivera","UY","712","-30.9746","-55.4762","America/Montevideo",""
"SUSO","STY","Nueva Hesperides International Airport","Salto","Salto","UY","187","-31.4385","-57.9853","America/Montevideo",""
"SUTB","TAW","Tacuarembo Airport","Tacuarembo","Tacuarembo","UY","440","-31.749","-55.9258","America/Montevideo",""
"SUTR","TYT","Treinta y Tres Airport","Treinta y Tres","Treinta-y-Tres","UY","337","-33.2","-54.35","America/Montevideo",""
"SUVO","VCH","Vichadero Airport","Vichadero","Rivera","UY","488","-31.767","-54.617","America/Montevideo",""
"SVAC","AGV","Oswaldo Guevara Mujica Airport","Acarigua","Portuguesa","VE","640","9.55338","-69.23787","America/Caracas",""
"SVAN","AAO","Anaco Airport","Anaco","Anzoategui","VE","721","9.43023","-64.47073","America/Caracas",""
"SVAS","LPJ","Armando Schwarck Airport","Guayabal","Bolivar","VE","266","6.57805","-66.8169","America/Caracas",""
"SVBC","BLA","General Jose Antonio Anzoategui International Airport","Barcelona","Anzoategui","VE","26","10.1071","-64.6892","America/Caracas",""
"SVBI","BNS","Barinas Airport","Barinas","Barinas","VE","666","8.61957","-70.2208","America/Caracas",""
"SVBM","BRM","Barquisimeto International Airport","Barquisimeto","Lara","VE","2042","10.04275","-69.35862","America/Caracas",""
"SVBS","MYC","Escuela Mariscal Sucre Airport","Maracay","Aragua","VE","1338","10.24998","-67.64942","America/Caracas",""
"SVCB","CBL","Ciudad Bolivar Airport","","Bolivar","VE","197","8.12216","-63.53696","America/Caracas",""
"SVCD","CXA","Caicara del Orinoco Airport","","Bolivar","VE","141","7.62551","-66.1628","America/Caracas",""
"SVCG","CUV","Casigua El Cubo Airport","Casigua El Cubo","Zulia","VE","99","8.75814","-72.5363","America/Caracas",""
"SVCL","CLZ","Calabozo Airport","Guarico","Guarico","VE","328","8.92466","-67.41709","America/Caracas",""
"SVCN","CAJ","Canaima Airport","Canaima","Bolivar","VE","1450","6.23199","-62.85443","America/Caracas",""
"SVCO","VCR","Carora Airport","Carora","Lara","VE","1437","10.1756","-70.06522","America/Caracas",""
"SVCP","CUP","General Francisco Bermudez Airport","Carupano","Sucre","VE","33","10.66001","-63.26168","America/Caracas",""
"SVCR","CZE","Jose Leonardo Chirinos Airport","Coro","Falcon","VE","52","11.41494","-69.6809","America/Caracas",""
"SVCU","CUM","Cumana (Antonio Jose de Sucre) Airport","","Sucre","VE","14","10.45033","-64.13047","America/Caracas",""
"SVED","EOR","El Dorado Airport","Bolivar","Bolivar","VE","318","6.73333","-61.58333","America/Caracas",""
"SVEZ","EOZ","Elorza Airport","","Apure","VE","295","7.08333","-69.53333","America/Caracas",""
"SVGD","GDO","Guasdalito Airport","","Apure","VE","426","7.23333","-70.8","America/Caracas",""
"SVGI","GUI","Guiria Airport","","","VE","42","10.57408","-62.31267","America/Caracas",""
"SVGU","GUQ","Guanare Airport","Guanare","Portuguesa","VE","606","9.02694","-69.75515","America/Caracas",""
"SVHG","HGE","Higuerote Airport","","Miranda","VE","10","10.46245","-66.09276","America/Caracas",""
"SVIC","ICA","Icabaru Airport","","Bolivar","VE","1574","4.33632","-61.7396","America/Caracas",""
"SVIE","ICC","Andres Miguel Salazar Marcano Airport","Isla de Coche","Nueva-Esparta","VE","10","10.79441","-63.98159","America/Caracas",""
"SVJC","LSP","Josefa Camejo International Airport","Paraguana","Falcon","VE","75","11.78078","-70.1515","America/Caracas",""
"SVKA","KAV","Kavanayen Airport","","Bolivar","VE","3900","5.633","-61.783","America/Caracas",""
"SVLF","LFR","La Fria Airport","","Tachira","VE","305","8.23917","-72.27103","America/Caracas",""
"SVMC","MAR","La Chinita International Airport","Maracaibo","Zulia","VE","239","10.55821","-71.72786","America/Caracas",""
"SVMD","MRD","Alberto Carnevalli Airport","Merida","Merida","VE","5007","8.58208","-71.16104","America/Caracas",""
"SVMG","PMV","Del Caribe Santiago Marino International Airport","Isla Margarita","Nueva-Esparta","VE","74","10.9126","-63.9666","America/Caracas",""
"SVMI","CCS","Maiquetia (Simon Bolivar Internacional) Airport","Caracas","Vargas","VE","235","10.60312","-66.99059","America/Caracas",""
"SVMT","MUN","Maturin Airport","","Anzoategui","VE","224","9.75453","-63.1474","America/Caracas",""
"SVON","CBS","Oro Negro Airport","Cabimas","Zulia","VE","164","10.3307","-71.3225","America/Caracas",""
"SVPA","PYH","Cacique Aramare Airport","","Amazonas","VE","245","5.61999","-67.6061","America/Caracas",""
"SVPC","PBL","General Bartolome Salom International Airport","","Carabobo","VE","32","10.4805","-68.073","America/Caracas",""
"SVPE","PDZ","Pedernales Airport","","Delta-Amacuro","VE","25","9.97924","-62.2286","America/Caracas",""
"SVPH","PPH","Perai Tepuy Airport","","Bolivar","VE","2797","4.56667","-61.48333","America/Caracas",""
"SVPM","SCI","Paramillo Airport","","Tachira","VE","3314","7.80132","-72.2029","America/Caracas",""
"SVPR","PZO","General Manuel Carlos Piar International Airport","Puerto Ordaz-Ciudad Guayana","Bolivar","VE","472","8.28853","-62.7604","America/Caracas",""
"SVPT","PTM","Palmarito Airport","Palmarito","Apure","VE","347","7.56667","-70.1833","America/Caracas",""
"SVRS","LRV","Gran Roque Airport","Los Roques","Dependencias-Federales","VE","17","11.95","-66.67","America/Caracas",""
"SVSA","SVZ","San Antonio Del Tachira Airport","","Tachira","VE","1312","7.84083","-72.4397","America/Caracas",""
"SVSB","SBB","Santa Barbara de Barinas Airport","Santa Barbara","Barinas","VE","590","7.80351","-71.16572","America/Caracas",""
"SVSE","SNV","Santa Elena de Uairen Airport","","Bolivar","VE","2938","4.555","-61.15","America/Caracas",""
"SVSO","STD","Mayor Buenaventura Vivas International Airport","Santo Domingo","Tachira","VE","1083","7.56538","-72.0351","America/Caracas",""
"SVSP","SNF","Sub Teniente Nestor Arias Airport","San Felipe","Yaracuy","VE","761","10.2787","-68.7552","America/Caracas",""
"SVSR","SFD","San Fernando De Apure Airport","Inglaterra","Apure","VE","154","7.88332","-67.444","America/Caracas",""
"SVST","SOM","San Tome Airport","","Anzoategui","VE","861","8.94515","-64.15108","America/Caracas",""
"SVSZ","STB","Santa Barbara del Zulia Airport","","Zulia","VE","32","8.97455","-71.94325","America/Caracas",""
"SVTC","TUV","Tucupita Airport","Tucupita","Delta-Amacuro","VE","16","9.08899","-62.09417","America/Caracas",""
"SVTM","TMO","Tumeremo Airport","","Bolivar","VE","345","7.25","-61.43333","America/Caracas",""
"SVUM","URM","Uriman Airport","","Bolivar","VE","1148","5.33333","-62.76667","America/Caracas",""
"SVVA","VLN","Arturo Michelena International Airport","Valencia","Carabobo","VE","1411","10.14973","-67.9284","America/Caracas",""
"SVVG","VIG","Juan Pablo Perez Alfonso Airport","El Vigia","Merida","VE","250","8.62414","-71.67267","America/Caracas",""
